67,140
76,106
36,88
119,156
55,144
26,30
91,69
52,43
152,69
25,165
40,38
122,158
33,109
75,64
69,69
160,97
135,178
72,105
84,99
147,126
66,56
163,72
158,157
64,87
124,151
76,161
138,117
36,151
99,80
102,132
34,172
135,76
123,91
31,127
162,51
174,170
132,152
50,156
173,34
34,66
39,180
27,92
159,101
155,58
28,131
28,124
94,42
154,175
43,98
62,85
36,162
91,174
94,178
30,38
68,69
19,160
181,176
68,48
145,178
96,113
46,125
19,28
172,36
176,166
33,110
98,50
66,112
47,126
169,35
44,171
35,158
170,46
126,37
156,26
29,21
51,155
102,56
75,81
95,106
169,59
47,81
124,153
94,108
77,26
36,144
22,73
118,66
27,140
115,116
138,87
30,42
69,134
165,118
136,47
97,170
121,116
88,140
49,115
131,23
22,128
93,79
24,165
38,164
95,50
181,128
169,92
143,160
149,83
73,114
79,181
124,126
29,163
164,148
153,180
133,89
119,42
131,171
165,92
107,146
61,110
124,130
56,28
49,58
87,38
137,43
131,35
160,103
112,113
127,96
50,125
176,159
54,37
165,124
139,39
171,39
19,98
110,119
128,159
155,138
162,107
138,26
34,46
124,70
159,130
54,74
175,143
168,49
100,117
77,87
172,53
175,130
20,106
91,19
78,181
168,55
104,89
114,75
93,69
20,160
22,20
164,53
89,29
33,152
115,30
124,152
59,62
97,43
93,72
26,30
34,181
69,133
129,129
87,176
18,72
165,124
43,84
166,119
178,156
168,129
109,113
141,77
72,164
147,84
100,69
78,144
78,155
51,23
65,118
43,50
100,168
145,94
35,125
162,82
29,48
24,128
40,141
85,24
73,180
158,24
88,99
129,140
35,135
142,88
152,166
138,32
91,107
143,46
106,43
151,181
38,155
138,179
164,29
165,90
156,177
163,111
90,153
162,171
53,71
79,45
124,80
131,156
55,162
92,58
25,91
103,55
141,20
178,125
119,20
143,95
47,96
126,133
64,94
59,103
176,79
148,131
124,141
163,168
91,73
124,28
179,28
153,173
109,38
60,68
159,67
105,107
47,175
21,83
26,159
63,129
136,59
181,175
180,59
106,86
51,33
44,22
38,175
31,168
155,46
81,32
127,84
36,157
128,58
33,113
42,160
28,140
144,86
149,83
163,24
99,42
84,68
30,85
109,58
123,34
139,75
19,153
127,73
31,75
37,138
32,41
159,28
100,85
57,164
24,26
91,115
115,135
23,117
67,100
127,116
118,165
123,143
171,144
106,76
58,122
34,148
136,172
24,41
75,58
50,49
48,130
82,136
75,135
48,57
59,175
147,29
114,91
107,128
69,81
157,160
166,112
35,96
178,169
22,157
40,46
171,115
177,121
54,122
30,131
88,105
111,54
125,104
81,156
106,175
82,100
125,170
89,165
180,171
166,103
52,132
145,102
146,46
123,180
179,78
64,128
93,58
49,59
89,88
82,87
36,93
56,169
51,34
78,69
109,21
127,74
176,132
99,132
159,89
145,39
20,52
91,154
88,61
106,161
54,139
134,133
170,69
162,82
148,116
50,63
165,54
33,78
157,96
83,167
83,105
171,28
19,49
133,178
48,154
38,82
124,168
18,125
130,101
171,121
102,101
176,62
141,83
133,93
164,70
39,35
110,103
134,95
176,118
100,103
67,121
100,67
163,54
59,24
92,57
80,101
91,178
124,65
48,47
76,157
116,161
141,161
136,78
85,171
161,61
128,38
145,96
50,113
33,21
54,105
130,47
123,176
46,127
129,19
75,106
81,133
141,83
129,181
71,159
84,128
36,112
67,158
79,145
41,80
129,146
168,69
138,119
67,64
131,68
38,68
104,88
125,175
66,85
69,50
37,87
103,171
35,129
157,112
91,43
24,87
174,151
119,74
170,97
162,181
74,107
125,40
27,78
69,33
91,124
122,35
137,69
88,43
18,24
120,57
86,88
49,71
51,37
173,175
168,99
162,51
37,149
65,39
50,178
27,125
46,92
38,177
44,27
35,161
39,18
38,136
99,24
102,175
101,181
55,47
35,105
82,21
51,48
132,107
99,110
128,50
29,49
101,24
76,69
127,93
19,179
149,164
113,119
122,27
175,141
162,175
68,82
67,42
117,163
24,71
131,53
36,30
138,53
18,125
26,71
72,144
66,99
137,69
97,85
112,133
48,29
78,53
149,132
101,112
38,179
